week,index_level,max_52,ML,mean_52,std_52,mean-2.5*std,CC
369,5335.12,5230.55,1.0199921614361778,0.9824218330647508,0.05976647640354817,0.8927721184594286,0
370,4637.05,5335.12,0.8691557078378743,0.9852221007965455,0.05798985209694496,0.898237322651128,1
371,4336.2,5335.12,0.8127652236500772,0.9854269460111266,0.057550601280481534,0.8991010440904043,1
372,3885.92,5335.12,0.728365997390874,0.9844428177519843,0.06005198091563048,0.8943648463785385,1
373,4106.56,5335.12,0.7697221430820675,0.981615882551279,0.06819528223397867,0.879322959200311,1
374,4151.5,5335.12,0.7781455712336367,0.9798213876239321,0.0724705093634669,0.8711156235787317,1
375,4176.28,5335.12,0.7827902652611375,0.9780642514179729,0.07620871242254282,0.8637511827841587,1
376,3816.7,5335.12,0.7153915938160716,0.9756522860703559,0.08033585184565434,0.8551485083018744,1
377,3906.95,5335.12,0.732307801886368,0.9714114424002207,0.08793577306098048,0.83950778280875,1
378,4073.54,5335.12,0.7635329664562371,0.967482543381771,0.09388399948868735,0.8266565441487399,1
379,3589.54,5335.12,0.6728133575252291,0.9639261159224125,0.09802966884055034,0.816881612661587,1
380,3342.29,5335.12,0.6264695077149155,0.9585886109815871,0.10601349205755585,0.7995683728952533,1
381,3365.83,5335.12,0.6308817796038327,0.9525690375969257,0.1155749388734327,0.7792066292867766,1
382,3347.19,5335.12,0.6273879500367378,0.9457768932549394,0.12377455295455748,0.7601150638231031,1
383,3251.27,5335.12,0.609408972994047,0.9390017799738671,0.1312953104189516,0.7420588143454397,1
384,3231.95,5335.12,0.6057876861251481,0.9318277399497661,0.138848767563575,0.7235545886044036,1
385,3202.95,5335.12,0.6003520070776289,0.9244906524656376,0.1457671947405409,0.7058398603548262,1
386,3340.12,5335.12,0.6260627689723942,0.9169416025793561,0.15217856583506292,0.6886737538267618,1
387,3534.07,5335.12,0.6624162155677848,0.9097639015326334,0.1569452359674012,0.6743460475815316,1
388,3571.24,5335.12,0.669383256609036,0.9034672701303195,0.16020385399263673,0.6631614891413644,0
389,3534.08,5335.12,0.6624180899398702,0.8977023654719967,0.16316002346634428,0.6529623302724803,0
390,3793.37,5335.12,0.7110186837409468,0.8908865653063093,0.16547200316800906,0.6426785605542957,0
391,3746.24,5335.12,0.7021847681026856,0.8853766128907422,0.16661743110596197,0.6354504662317992,0
392,3774.38,5335.12,0.7074592511508645,0.8790915632866002,0.16725612352632604,0.6282073779971111,0
