week,index_level,diff,is_rising,pli,date
320,3154.2003,0.27930000000014843,1,1.0,320
321,3192.2804,-17.67380000000003,0,0.6,321
322,3276.2775,-0.4861999999998261,0,0.6,322
323,3225.1621,-27.360599999999977,0,0.2,323
324,3203.9304,-17.20609999999988,0,0.6,324
325,3205.1101,3.8213000000000648,1,0.8,325
326,3294.2337,60.8733000000002,1,0.6,326
327,3365.0197,0.5345999999999549,1,0.4,327
328,3307.0902,-1.8818999999998596,0,0.2,328
329,3314.1142,12.537499999999909,1,0.8,329
330,3318.044,-21.519999999999982,0,0.4,330
331,3238.7299,-21.603100000000268,0,0.0,331
332,3275.6665,-15.454600000000028,0,0.6,332
333,3253.2848,8.897399999999834,1,0.6,333
334,3305.8481,3.202600000000075,1,0.8,334
335,3327.74,9.135599999999613,1,0.6,335
336,3340.1262,-5.56880000000001,0,0.2,336
337,3354.1749,-10.910100000000057,0,0.4,337
338,3417.2211,26.609200000000328,1,0.8,338
339,3417.4554,-19.079600000000028,0,0.4,339
340,3521.2984,32.55819999999994,1,1.0,340
341,3528.9547,-36.08130000000028,0,0.6,341
342,3493.7004,23.557800000000043,1,0.4,342
343,3346.0305,5.596700000000055,1,0.2,343
344,3307.5991,-28.072900000000118,0,0.2,344
345,3310.0808,12.316000000000258,1,0.4,345
346,3347.6665,-20.12270000000035,0,0.5,346
347,3319.9122,2.288100000000213,1,0.4,347
348,3354.8891,25.59999999999991,1,0.6,348
349,3387.9606,12.05639999999994,1,1.0,349
350,3364.4923,-23.4683,0,0.0,350
351,3413.4868,17.194400000000314,1,0.8,351
352,3421.4419,-19.49120000000039,0,0.4,352
353,3473.8517,0.5280999999999949,1,0.8,353
354,3427.8628,-7.2335000000002765,0,0.4,354
355,3427.8916,0.9477999999999156,1,0.6,355
356,3445.8051,-35.701500000000124,0,0.6,356
357,3489.5997,27.621500000000196,1,0.8,357
358,3456.0455,19.287500000000364,1,0.2,358
359,3517.4634,3.416500000000269,1,1.0,359
360,3486.5045,-28.0617000000002,0,0.4,360
361,3466.7865,5.238400000000183,1,0.4,361
362,3439.753,-6.967200000000048,0,0.6,362
363,3382.5502,-21.836199999999735,0,0.0,363
364,3385.3787,28.732800000000225,1,0.4,364
365,3403.8492,5.736499999999978,1,0.6,365
366,3480.4345,-5.2236000000002605,0,0.6,366
367,3486.5074,-11.230799999999817,0,0.6666666666666666,367
368,3576.1703,15.19170000000031,1,0.8,368
369,3518.7611,-10.031500000000051,0,0.2,369
